Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2017-08-23,210,1,1,697,2295,2295
astro,2017-08-23,225,1,1,649,2175,2175
astro,2017-08-23,302,2,2,962,3100,3100
astro,2017-08-23,317,1,1,649,2200,2200
astro,2017-08-23,406,0,1,535,1745,1745
astro,2017-08-23,415,1,1,596,1950,1950
astro,2017-08-23,440,2,2,1000,3200,3200
astro,2017-08-23,513,1,1,596,1975,1975
astro,2017-08-23,519,1,1,784,2585,2585
astro,2017-08-23,539,1,1,627,2050,2050
astro,2017-08-23,613,1,1,596,1999,1999
astro,2017-08-23,640,2,2,971,3150,3150
