Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2017-10-16,201,1,1,604,1968,1968
astro,2017-10-16,210,1,1,697,2188,2188
astro,2017-10-16,225,1,1,649,2120,2120
astro,2017-10-16,229,1,1,718,2536,2536
astro,2017-10-16,302,2,2,962,3095,3095
astro,2017-10-16,331,1,1,596,1900,1900
astro,2017-10-16,410,1,1,697,2198,2198
astro,2017-10-16,419,1,1,784,2470,2470
astro,2017-10-16,435,2,2,1056,3291,3291
astro,2017-10-16,538,0,1,535,1775,1775
astro,2017-10-16,637,1,1,692,2200,2200
astro,2017-10-16,641,2,2,962,3160,3160
