Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2016-11-27,208,2,2,1056,2736,3546
astro,2016-11-27,217,1,1,649,1830,2955
astro,2016-11-27,224,1,1,697,1955,2875
astro,2016-11-27,235,2,2,1056,2736,3546
astro,2016-11-27,238,0,1,535,1700,2130
astro,2016-11-27,306,0,1,535,1720,2375
astro,2016-11-27,307,1,1,651,1672,2797
astro,2016-11-27,325,1,1,649,1760,2885
astro,2016-11-27,327,1,1,596,1655,2595
astro,2016-11-27,335,2,2,1056,2741,3551
astro,2016-11-27,401,1,1,604,1624,2564
astro,2016-11-27,407,1,1,651,1752,2692
astro,2016-11-27,427,1,1,596,1790,2835
astro,2016-11-27,428,0,1,464,1550,2210
astro,2016-11-27,432,1,1,697,2015,2935
astro,2016-11-27,518,1,1,761,1890,3015
astro,2016-11-27,519,1,1,784,2235,3305
astro,2016-11-27,627,1,1,596,1800,2845
astro,2016-11-27,636,1,1,683,1745,2870
