Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2017-08-02,210,1,1,697,2400,2400
astro,2017-08-02,212,0,1,464,1625,1625
astro,2017-08-02,317,1,1,649,2350,2350
astro,2017-08-02,406,0,1,535,1800,1800
astro,2017-08-02,415,1,1,596,2150,2150
astro,2017-08-02,429,1,1,718,2650,2650
astro,2017-08-02,440,2,2,1000,3475,3475
astro,2017-08-02,513,1,1,596,2175,2175
astro,2017-08-02,514,0,1,464,1650,1650
astro,2017-08-02,519,1,1,784,2625,2625
astro,2017-08-02,539,1,1,627,2275,2275
astro,2017-08-02,613,1,1,596,2200,2200
astro,2017-08-02,615,1,1,596,2200,2200
