Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2016-12-24,208,2,2,1056,2906,3731
astro,2016-12-24,232,1,1,697,2200,3020
astro,2016-12-24,235,2,2,1056,2906,4001
astro,2016-12-24,237,1,1,692,1655,2055
astro,2016-12-24,241,2,2,962,2710,3535
astro,2016-12-24,327,1,1,596,1830,2690
astro,2016-12-24,338,0,1,535,1830,2790
astro,2016-12-24,418,1,1,761,2115,2975
astro,2016-12-24,427,1,1,596,1890,2750
astro,2016-12-24,428,0,1,464,1645,2320
astro,2016-12-24,519,1,1,784,2335,3195
astro,2016-12-24,604,1,1,627,1850,2710
astro,2016-12-24,627,1,1,596,1900,2760
