Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2018-04-19,212,0,1,464,1551,1551
astro,2018-04-19,223,1,1,761,2350,2350
astro,2018-04-19,231,1,1,596,1875,1875
astro,2018-04-19,240,2,2,1000,2945,2945
astro,2018-04-19,307,1,1,651,1900,1900
astro,2018-04-19,326,0,1,464,1637,1637
astro,2018-04-19,412,0,1,464,1592,1592
astro,2018-04-19,425,1,1,649,2095,2095
astro,2018-04-19,504,1,1,627,2025,2025
astro,2018-04-19,506,0,1,535,1700,1700
astro,2018-04-19,517,1,1,649,2150,2150
astro,2018-04-19,531,1,1,596,1849,1849
astro,2018-04-19,616,0,1,464,1652,1652
astro,2018-04-19,638,0,1,535,1780,1780
