Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2018-03-22,229,1,1,718,2584,2584
astro,2018-03-22,231,1,1,596,1925,1925
astro,2018-03-22,240,2,2,1000,2995,2995
astro,2018-03-22,333,1,1,679,2200,2200
astro,2018-03-22,409,1,1,761,2360,2360
astro,2018-03-22,425,1,1,649,2145,2145
astro,2018-03-22,504,1,1,627,2075,2075
astro,2018-03-22,507,1,1,651,2081,2081
astro,2018-03-22,508,2,2,1056,3360,3360
astro,2018-03-22,531,1,1,596,1899,1899
astro,2018-03-22,621,1,1,776,2175,2175
