Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2016-12-13,208,2,2,1056,2776,3631
astro,2016-12-13,235,2,2,1056,2776,3631
astro,2016-12-13,241,2,2,962,2580,3435
astro,2016-12-13,327,1,1,596,1710,2885
astro,2016-12-13,334,1,1,761,1890,2940
astro,2016-12-13,418,1,1,761,2120,3170
astro,2016-12-13,427,1,1,596,1895,3195
astro,2016-12-13,428,0,1,464,1660,2280
astro,2016-12-13,519,1,1,784,2340,3390
astro,2016-12-13,604,1,1,627,1855,2905
astro,2016-12-13,627,1,1,596,1905,2950
astro,2016-12-13,636,1,1,683,1800,2975
